Id;Station;Lon;Lat;Type Data;Année;M;J;DATA
76;ES SENIA;-0.625;35.75;SWGDN;1980;3;16;4944.301
77;ES SENIA;-0.625;35.75;SWGDN;1980;3;17;4457.6016
78;ES SENIA;-0.625;35.75;SWGDN;1980;3;18;4902.354
79;ES SENIA;-0.625;35.75;SWGDN;1980;3;19;5774.2705
80;ES SENIA;-0.625;35.75;SWGDN;1980;3;20;4478.8003
81;ES SENIA;-0.625;35.75;SWGDN;1980;3;21;4806.463
82;ES SENIA;-0.625;35.75;SWGDN;1980;3;22;6393.818
83;ES SENIA;-0.625;35.75;SWGDN;1980;3;23;6092.1865
84;ES SENIA;-0.625;35.75;SWGDN;1980;3;24;2698.959
85;ES SENIA;-0.625;35.75;SWGDN;1980;3;25;6513.4497
86;ES SENIA;-0.625;35.75;SWGDN;1980;3;26;6615.03
87;ES SENIA;-0.625;35.75;SWGDN;1980;3;27;6387.542
88;ES SENIA;-0.625;35.75;SWGDN;1980;3;28;6583.1465
89;ES SENIA;-0.625;35.75;SWGDN;1980;3;29;6369.477
90;ES SENIA;-0.625;35.75;SWGDN;1980;3;30;6636.9297
91;ES SENIA;-0.625;35.75;SWGDN;1980;3;31;6962.6235
92;ES SENIA;-0.625;35.75;SWGDN;1980;4;1;6936.092
93;ES SENIA;-0.625;35.75;SWGDN;1980;4;2;6959.427
94;ES SENIA;-0.625;35.75;SWGDN;1980;4;3;5191.872
95;ES SENIA;-0.625;35.75;SWGDN;1980;4;4;2874.9463
96;ES SENIA;-0.625;35.75;SWGDN;1980;4;5;7166.57
97;ES SENIA;-0.625;35.75;SWGDN;1980;4;6;7206.775
98;ES SENIA;-0.625;35.75;SWGDN;1980;4;7;7055.6494
99;ES SENIA;-0.625;35.75;SWGDN;1980;4;8;7346.2666
100;ES SENIA;-0.625;35.75;SWGDN;1980;4;9;7249.5566
101;ES SENIA;-0.625;35.75;SWGDN;1980;4;10;6400.7354
102;ES SENIA;-0.625;35.75;SWGDN;1980;4;11;5813.7837
103;ES SENIA;-0.625;35.75;SWGDN;1980;4;12;4872.178
104;ES SENIA;-0.625;35.75;SWGDN;1980;4;13;3824.4014
105;ES SENIA;-0.625;35.75;SWGDN;1980;4;14;6266.732
106;ES SENIA;-0.625;35.75;SWGDN;1980;4;15;7096.3975
107;ES SENIA;-0.625;35.75;SWGDN;1980;4;16;6851.2773
108;ES SENIA;-0.625;35.75;SWGDN;1980;4;17;5149.2227
109;ES SENIA;-0.625;35.75;SWGDN;1980;4;18;6861.916
110;ES SENIA;-0.625;35.75;SWGDN;1980;4;19;7710.035
111;ES SENIA;-0.625;35.75;SWGDN;1980;4;20;7768.7246
112;ES SENIA;-0.625;35.75;SWGDN;1980;4;21;7548.752
113;ES SENIA;-0.625;35.75;SWGDN;1980;4;22;7910.5234
114;ES SENIA;-0.625;35.75;SWGDN;1980;4;23;7945.4883
115;ES SENIA;-0.625;35.75;SWGDN;1980;4;24;7909.789
116;ES SENIA;-0.625;35.75;SWGDN;1980;4;25;5139.8516
117;ES SENIA;-0.625;35.75;SWGDN;1980;4;26;7244.627
118;ES SENIA;-0.625;35.75;SWGDN;1980;4;27;7602.7188
119;ES SENIA;-0.625;35.75;SWGDN;1980;4;28;6521.3574
120;ES SENIA;-0.625;35.75;SWGDN;1980;4;29;4031.2852
121;ES SENIA;-0.625;35.75;SWGDN;1980;4;30;5163.9707
122;ES SENIA;-0.625;35.75;SWGDN;1980;5;1;7188.8164
123;ES SENIA;-0.625;35.75;SWGDN;1980;5;2;5979.2383
124;ES SENIA;-0.625;35.75;SWGDN;1980;5;3;5546.121
125;ES SENIA;-0.625;35.75;SWGDN;1980;5;4;7630.2773
126;ES SENIA;-0.625;35.75;SWGDN;1980;5;5;7599.492
127;ES SENIA;-0.625;35.75;SWGDN;1980;5;6;5156.7773
128;ES SENIA;-0.625;35.75;SWGDN;1980;5;7;7749.285
129;ES SENIA;-0.625;35.75;SWGDN;1980;5;8;6735.293
130;ES SENIA;-0.625;35.75;SWGDN;1980;5;9;7663.6484
131;ES SENIA;-0.625;35.75;SWGDN;1980;5;10;6919.418
132;ES SENIA;-0.625;35.75;SWGDN;1980;5;11;5862.992
133;ES SENIA;-0.625;35.75;SWGDN;1980;5;12;3906.1309
134;ES SENIA;-0.625;35.75;SWGDN;1980;5;13;7888.242
135;ES SENIA;-0.625;35.75;SWGDN;1980;5;14;8416.158
136;ES SENIA;-0.625;35.75;SWGDN;1980;5;15;8146.9116
137;ES SENIA;-0.625;35.75;SWGDN;1980;5;16;7668.673
138;ES SENIA;-0.625;35.75;SWGDN;1980;5;17;7983.656
139;ES SENIA;-0.625;35.75;SWGDN;1980;5;18;6799.6523
140;ES SENIA;-0.625;35.75;SWGDN;1980;5;19;7493.245
141;ES SENIA;-0.625;35.75;SWGDN;1980;5;20;8408.356
142;ES SENIA;-0.625;35.75;SWGDN;1980;5;21;8517.687
143;ES SENIA;-0.625;35.75;SWGDN;1980;5;22;8318.354
144;ES SENIA;-0.625;35.75;SWGDN;1980;5;23;8631.066
145;ES SENIA;-0.625;35.75;SWGDN;1980;5;24;8040.022
146;ES SENIA;-0.625;35.75;SWGDN;1980;5;25;6848.5444
147;ES SENIA;-0.625;35.75;SWGDN;1980;5;26;6508.1006
148;ES SENIA;-0.625;35.75;SWGDN;1980;5;27;6253.7505
149;ES SENIA;-0.625;35.75;SWGDN;1980;5;28;7521.463
150;ES SENIA;-0.625;35.75;SWGDN;1980;5;29;7600.7896
151;ES SENIA;-0.625;35.75;SWGDN;1980;5;30;7347.022
152;ES SENIA;-0.625;35.75;SWGDN;1980;5;31;8119.622
153;ES SENIA;-0.625;35.75;SWGDN;1980;6;1;8495.16
154;ES SENIA;-0.625;35.75;SWGDN;1980;6;2;8661.275
155;ES SENIA;-0.625;35.75;SWGDN;1980;6;3;7831.471
156;ES SENIA;-0.625;35.75;SWGDN;1980;6;4;8511.338
157;ES SENIA;-0.625;35.75;SWGDN;1980;6;5;8093.627
158;ES SENIA;-0.625;35.75;SWGDN;1980;6;6;8093.584
159;ES SENIA;-0.625;35.75;SWGDN;1980;6;7;6952.8633
160;ES SENIA;-0.625;35.75;SWGDN;1980;6;8;8087.129
161;ES SENIA;-0.625;35.75;SWGDN;1980;6;9;7720.5396
162;ES SENIA;-0.625;35.75;SWGDN;1980;6;10;8619.638
163;ES SENIA;-0.625;35.75;SWGDN;1980;6;11;7975.8555
164;ES SENIA;-0.625;35.75;SWGDN;1980;6;12;7925.7876
165;ES SENIA;-0.625;35.75;SWGDN;1980;6;13;8625.204
166;ES SENIA;-0.625;35.75;SWGDN;1980;6;14;7698.7324
167;ES SENIA;-0.625;35.75;SWGDN;1980;6;15;8477.008
